t,mode,q_size,normal,adaptive,dropped
1.0024516582489014,NORMAL,0,445,0,0
2.00284743309021,NORMAL,0,898,0,0
3.004587411880493,NORMAL,0,1359,0,0
4.004664897918701,NORMAL,0,1821,0,0
5.006700754165649,NORMAL,0,2282,0,0
6.007888078689575,NORMAL,12,2746,0,0
7.008720636367798,ADAPTIVE,1999,2855,433,411
8.008764743804932,ADAPTIVE,1999,2855,969,2833
9.009895086288452,ADAPTIVE,1999,2855,1501,5149
10.010383129119873,ADAPTIVE,1999,2855,2041,7537
11.011442422866821,ADAPTIVE,1999,2855,2586,9893
12.012140274047852,ADAPTIVE,1999,2855,3130,12270
13.013174057006836,ADAPTIVE,1999,2855,3667,14609
14.013436555862427,ADAPTIVE,1999,2855,4214,16955
15.014286279678345,ADAPTIVE,1999,2855,4761,19381
16.016191005706787,ADAPTIVE,1998,2855,5300,21693
17.016260623931885,ADAPTIVE,1927,2855,5816,21693
18.017661571502686,ADAPTIVE,1851,2855,6351,21693
19.019166946411133,ADAPTIVE,1772,2855,6888,21693
20.020952224731445,ADAPTIVE,1702,2855,7399,21693
21.021762132644653,ADAPTIVE,1636,2855,7909,21693
22.02304196357727,ADAPTIVE,1574,2855,8404,21693
23.024517059326172,ADAPTIVE,1511,2855,8899,21693
24.025546312332153,ADAPTIVE,1450,2855,9392,21693
25.026318073272705,ADAPTIVE,1388,2855,9891,21693
26.02725386619568,ADAPTIVE,1322,2855,10396,21693
27.027827501296997,ADAPTIVE,1259,2855,10895,21693
28.0289204120636,ADAPTIVE,1194,2855,11393,21693
29.02987289428711,ADAPTIVE,1128,2855,11890,21693
30.031811475753784,ADAPTIVE,1062,2855,12395,21693
31.032514572143555,ADAPTIVE,1004,2855,12883,21693
32.03383231163025,ADAPTIVE,936,2855,13395,21693
33.03388857841492,ADAPTIVE,871,2855,13900,21693
34.03502583503723,ADAPTIVE,809,2855,14397,21693
35.03547811508179,ADAPTIVE,743,2855,14899,21693
36.03559231758118,ADAPTIVE,680,2855,15398,21693
37.0359787940979,ADAPTIVE,616,2855,15889,21693
38.037935733795166,ADAPTIVE,536,2855,16426,21693
39.03960609436035,ADAPTIVE,473,2855,16925,21693
40.04036545753479,ADAPTIVE,407,2855,17430,21693
